Video_id Is_ASR
FeY88YAYq5M Yes
IITl7QWfAhk Yes
q8x4ujLIvEw Yes
Wn05vA1pnGU No
HJI6GRctGtY Yes
ijzGumxjuyU Yes
oTbnT4cQ7lI Yes
tRlNI_U59eo Yes
BCdpg0ZNPCE Yes
nckS52bztng Yes
lGkwoM2njTA Yes
fZeW-KUXHKY Yes
1SmOPAlkVlI Yes
6elffuEtwu8 No
LLrNC0aSX98 No
0g7YNxV1emo No
XCWA_bcwbvY No
KFYdKy7ayjA Yes
hKf1Ta0xbEo Yes
WQXT0N4IICY No
vHMVFqYAKIw Yes
6ijyKGLgSoA Yes
7bBtC94mTZE Yes
dxiuyOepeNY Yes
XDPe3AsSEC8 Yes
7VxXKcMFypY Yes
CmJiuB6E6N4 Yes
Uy6U051gNrU Yes
29lIWbAxamY Yes
d7M2Ak1VUCw Yes
2vYGzTmuQ68 Yes
f04ybnNPDO0 Yes
p_BSGyzxG40 Yes
OlqHODcuIfw Yes
GkvGLLRt_kI Yes
BIqGTMe6aF8 Yes
eddMaYprXgk Yes
7XKTM3vMO7I Yes
imUMiT418JI Yes
wRZA5-COC44 No
V34LbyLLzUs No
or8vPLGpy9M No
kb1Q7gaKJCI No
oDPNgx7Uh2Y No
pj6baABmyn4 No
16nejD_cYJU No
yMI6euWvxNA No
BCIRI-ZA1H0 No
9nJKIoyfdF4 No
WNZ95mLT6Jg No
WbKPaOqhyek No
OeBB3LCQB3E No
_abEldqhil0 No
pLeY2I4JgzE No
oloCTuP306I No
dRz9TBg2P2M No
UpoNjbgv9ug No
adBRNQJvuns No
WhcgAE61RHY Yes
PPEOBukHuQw Yes
DYMjZIEoUTQ Yes
uUDRuA_cF8E Yes
iCc-58sXhk8 Yes
prcmkzOjuhg Yes
AnTo0Tne_k0 Yes
V2rLOlZsejw Yes
2TTnfgOAaxM Yes
fKTZg4Mou1o Yes
I-YE4QdFoFg Yes
mFz2TGn07qI Yes
BHvcN3RqFME Yes
__LZOPv2F3k Yes
K3Ik2yvSnl4 Yes
izFhn8mseBI Yes
CisjZOZtF1c Yes
d5bzLKprWQQ Yes
udhBeHxCTSY Yes
vLutZI6T4lI Yes
t4OLziu19eI Yes
HJt7vmVa4Ak Yes
Z8EOixUUc7o Yes
PTDSYkmn7qA Yes
2moVB7lHRjk Yes
Jps-oVdKepg Yes
5diyd8JUtLg Yes
lfIZCGsLjM0 Yes
Q22-0LLArm4 Yes
XFDqcjcnCrc Yes
tAw5Ksv7uck Yes
QVF3qnJsOU8 Yes
SJPGTm2Qui4 Yes
C5j3WuE7bRE Yes
2ZschG5EtR0 Yes
D6_3272QeiQ Yes
tLUg7TK2ChM Yes
vzclml60M1g Yes
L4lzlYtxs1M Yes
FX_-zhyetLI Yes
nJHC4z_pyt0 Yes
rdZRpBSPX_o Yes
FOVso5ttv0U Yes
8ZJhW5fgiNM Yes
2SKmWH1TIic Yes
DwIQ92fP8dk Yes
Id0txAn29KM Yes
X0cp79MlrZI Yes
skO-NGA-5g8 Yes
U5uk1-CMEeE Yes
xnv251jZhIs Yes
-6ACOMDOZ7E Yes
ac9cxSbicA4 Yes
UF6ouv2TIKw Yes
KcqA0ECz52Q Yes
IPEpJgRtEsc Yes
LxON5XpDh0s Yes
aazosC1GL6Q Yes
uDGHGbwf_Gs Yes
U41FYYUoqcE Yes
aJOsLlHqvN4 Yes
gxyI8CiuoGA Yes
rbj1ZxDQGWY Yes
5WaU-BaGwI4 Yes
C5GNVcWG3FQ Yes
BTlsjd3yx50 Yes
GJ5HivQsXXw Yes
wLEspSMVpsQ Yes
cwO7WnrvpBM Yes
n5je7npRUhQ Yes
m5R6UdUztbM Yes
O6rCUHNyKLw Yes
DSE38afhCu0 Yes
gEs2-gNL3qI Yes
PQHp__r2e2g Yes
HsT4DEJuvws Yes
T9wrhqWhoDc Yes
8nptwU7mplc Yes
yTuU2KAy4HU Yes
feeVnT_mUag Yes
1W6-Xpo8Bhs Yes
jDNbyfrqXH8 Yes
66Ky3P35toI Yes
GuKO0u7Qtrw Yes
KcbtZBf-p68 Yes
PsI5GRf-V4U Yes
M5G3FHmXT_k Yes
2McV9kTFTe8 Yes
eQz2zez6Y50 Yes
QBYDLx2mgMs Yes
VqdzCUatopo Yes
h8z14TDqAqw Yes
EoGsDf61cj8 Yes
G5wNkWM77CA Yes
jAJvYF2yPsk Yes
duFC4ptsSEs Yes
XN7cHkFsv2o Yes
XMXuyt2_oPA Yes
OG2uE67uGJ0 Yes
nfuRErj9TkY Yes
NfttXgaInIw Yes
BAfrTgMB0Tc Yes
ZlMZ5I9Wk5A Yes
oA1Kebs1Sn0 Yes
irg-DxtzpeU Yes
WsZSW8kGOpc Yes
WrzQ-h6gFdw Yes
EeSKJtBzyG8 Yes
EnUSfA0bp80 Yes
ryGMbXWWPL4 Yes
wACLrK8gl20 Yes
c-sIoODkpuU Yes
1EZUCLjaDiM Yes
QCRBBPBkyxw Yes
ZIzsdCGKIDY Yes
Reu5IvoDrNs Yes
subRFA2LLSo Yes
XM35t6uUG14 Yes
zGQrpVhcJ_Y Yes
7HdtsTQQhB8 Yes
523xW2PBYo0 Yes
_BMOn6E3ywk Yes
2MynyQDwDcg Yes
KP2ZcV4rOjo Yes
zL7xa4V9qmg Yes
MK2PjDuWi6k Yes
Knrz07GSc3U Yes
vknA22XBbwk Yes
JJZH5qIaqFs Yes
iKqwOrHVlG0 Yes
R9ND0xG4VNQ Yes
34XWv-dTg_Q Yes
9cmTO8gBh9g Yes
KAKmtXGm7A0 Yes
rCkyTqzowu0 Yes
HXjhvjj0rl4 Yes
p5CPdAf63Aw Yes
6I0cjQFT4F0 Yes
5zTh8KJGhcA Yes
v4uHpUMJwmo Yes
weIYPbSP-EI Yes
SSu46POTuC0 Yes
jDnhffM3NE8 Yes
hc6NNPboen4 Yes
CvyC4haFGLg Yes
ptoy_v3pGiQ Yes
k2NVCt3tYCY Yes
Ujh3RjBt1q4 Yes
rm5fq06oM1o Yes
g8MQHXal8qk Yes
fIJ_mCd3WPw Yes
K-b8fbqy_CQ Yes
GCuWmoMCmAo Yes
dEO0486NIY4 Yes
ZnfEgXzfQRA Yes
t5YK6ji1ayU Yes
lkaBd-_u8bw Yes
7leAYqcPWR0 Yes
KJTiVtv0vyU Yes
vDTsklrJUdQ Yes
b5MQDvZ-FAI Yes
8rPv330KIIg Yes
TNAKzUwkf98 Yes
vlJqRTGqT78 Yes
HO6vVRNbys4 Yes
34i5iMITPJc Yes
EwKj0Jk-H98 Yes
V__07KsdZ9c No
AwKGgBE_kRk No
H7mqv5egGFY No
W5ESi5qDxCY No
sl_77A5wzQI No
HIJ6mThqC8U Yes
2ffSg96PSas No
5sdhNjtTWwA No
3Ex_7EWoQog No
0Zf8SPaAsOU Yes
2TkoC1JVKos Yes
0zbA6o8ed0k Yes
TjVmHlwe7Fo Yes
Ya74IBk5gcE Yes
u8KxUgePp5c Yes
HZogzCsMJco Yes
Ou_XAAgUsrQ Yes
kMVZqkBs9sI Yes
k0BXTmg9_yo Yes
53RxSfdA14E Yes
4sksojE_QSI Yes
s9L_pnD2WVw Yes
0wyzHhXJ8XU Yes
AomQG5PmBKA Yes
VwRFc0ioLGI Yes
hMjL6cyKq9E Yes
Y5TZyM_HEV0 Yes
Zqeis0nKUvg Yes
fXA2QGIxf6A No
7kOT725r4HI No
Obz9UMdcWjU No
PS-xjp7exqQ No
Rp-srk25vNI No
Qqb_G2-kOr0 No
q0yyazXxpPQ No
UKb5UhA6ov0 No
y6S-m2-E4HY Yes
RHDhvHEIsr0 No
PTRDOz_hPWA No
RF0Y691GjCY No
kUgkxhL61TY Yes
QCSWUoKuGLY No
Cd4KosgME5w No
KXuy2CQH9zo No
rSbBqR86kTo No
6jG-s0-jkTE No
0AFNwosPSxI No
OeKW_P7f-ek No
ofh4Htym5NE No
rrm5yPVpFp8 Yes
RlZ-9UtZxWE No
JiPoSbYim6s No
Vzlv7VhXxKI Yes
fmRhvZnHJso No
4CEetVwxArM No
geKLpH2U6Dc Yes
QIlcZ-ZTqGo Yes
f4qgKySUq8E Yes
pE7WRYjVzIc Yes
zjofWB7tAKc Yes
xmbRD20POIw Yes
BuKDj1nMW1U Yes
pzxGzUyxRSY Yes
BA0PGw4BnPw Yes
cOm1N568j4I Yes
kEOHL2nbles Yes
x54BrISUIbk Yes
_P0Wrsr6QJA Yes
kNGryirstOU Yes
UhxLK3Kj7bE Yes
auLt_1gSvkA Yes
8Fqsx4Z04Pg Yes
Y0lnf01R-YM Yes
SrpH4PZrC60 Yes
VTxY2PLZJCo Yes
WhwHPsHel2Q Yes
jItHsURE0kQ Yes
VXnaz8uKBAw Yes
H6PByVucz_8 Yes
n92Qx-TEk3I Yes
WnWFIKht3rg Yes
Rg0AHWCD8Xo Yes
zyNaBLVPUgg Yes
ptUkz_dkZ5U Yes
KEMyW_RWLiE Yes
Jch4Aqu2Rbs Yes
g1d_cp-c3Wc Yes
4VND3Q7MqTc Yes
5f5auchKRuo Yes
kVyMMxY1HSY Yes
p0JeuhHc2AU Yes
RneIJ5n_0Rw Yes
Qcix71L5BWQ Yes
2BwCWmrziBU Yes
4yQxOGeCzRk Yes
89ugPysC8g8 Yes
2zM4qjt4vAw Yes
XA-pYkk3hro Yes
0fvaw8pttxY Yes
YWuvdsBEtXY Yes
tzHYWGTD-AU Yes
bvwoaeepQDI Yes
2AW4R5NkU14 Yes
ZNCTiqkBI1E Yes
-5Bd98ydM-A Yes
YpVTEeXfcAM Yes
o6l48mT7AI0 Yes
QcCdC7eo0bY Yes
HIMUszasJDw Yes
LpzpxoCYK38 Yes
AHBQpdn6j14 Yes
CAmF5meZ2n4 Yes
tHwASraYSX8 Yes
CDUsl4z6YFY Yes
zjsoA-816Dw Yes
UUAI-83TSLw Yes
SPrzqkffc2k Yes
HbE717gUHmE Yes
L-BDLH6V_CM Yes
dfVOgGziz3o Yes
AV3mwdGYeRM Yes
E37nJWsoPvQ Yes
NvUr2CLGkbg Yes
dJeEgB-FPPw Yes
yNQRJIz-tqg Yes
m4Fx0PMovmY Yes
r81xR2e-3Ds Yes
3hIQa0zfwzc Yes
TROkQ5a5MZI Yes
7DQpAGEUILg Yes
RGdTFsUw9Oc Yes
y1TkT1W6Y5I Yes
p3mh99HYzeg Yes
iFcrBx3dEDw Yes
y59n47xMkVQ Yes
VAR6GMALrS4 Yes
JaLPOa17-24 Yes
XUY_PrgXm_E Yes
IR178hAu_9s Yes
sYDwziyIcMw Yes
_G_pKPLc0ec Yes
i_5_Thn93gE Yes
ANL4qvzIfJM Yes
m6-2nfeB82g Yes
xsvGbKAI_RU Yes
OjKl726RkqM Yes
eO62ayG0upc Yes
QIGTFahcOQw Yes
8bS_3VUnSR4 No
IfDHkHCET6A Yes
puMIWlgGEw4 Yes
KAWBlsuNp5I Yes
Ort0360Keak Yes
Mo4j0Xxv9HI Yes
va8HdCuP_JA Yes
63FSbE4scto Yes
1fn4nBtZ8Fw Yes
BV1WgUGnmqM Yes
6NfXHLJaeBE Yes
Ts88ZbYhyTw Yes
GINI1s3VZ4I Yes
5AfCFHkmaJA Yes
2J7GcFrsWLo Yes
q7OI8h1tM3g Yes
xF7Bj9JgX88 Yes
RHarKMSP7qU Yes
QzDhKKf0c8k Yes
LaLlrjlMnLM Yes
FPz5GC-PPJY Yes
FpQGWXlLq_k Yes
Hul0H9q8LZs Yes
lEYh2gdSaCE Yes
oMY6WDodcg4 Yes
oDUQYhSnIu4 Yes
8OMhXr0Xk0s Yes
bW6rQNYG48Y No
wiKITYqLGJQ Yes
A-mjVVQWLYY Yes
IexjenHSFW8 Yes
CM61Fr2gR3Q Yes
F5Apu5K8pWA Yes
4EiXki_HJac Yes
ErUSAdZMpco Yes
xXQMJJOUYso Yes
y0nFKN6Koyo Yes
1qW_xpj_z6g Yes
VKLEOvM6V2M Yes
dLfdQmENb6c Yes
NhFPZZZb3sQ Yes
yTGOM_4eCjI Yes
blq7pOhoNLE Yes
02idHRNbRL0 Yes
eQGD_cCUAE0 Yes
sh5DzOvOzWo No
UfpTtTkmnk4 No
drFB8hnPJzI Yes
Pd3VmX2Tdaw Yes
GQ7UR6EbMHI Yes
7bZnFqCg2sY Yes
R_YfavCkJAQ Yes
GHjiU5PYs48 Yes
SwQofjO9GQs Yes
Y2cJH_JT0Jw Yes
bqeRwr9B1W4 Yes
32oarEjs0KE Yes
AhMLNy1c0Pg Yes
O98vlw9aJK0 Yes
LXygyCP2EDk Yes
8NfZBMNNFzw No
vMnVSCR3RwM No
poqsOBtlgII No
wI8CshQrwcc Yes
pwxvPPopPTQ No
iul9mARRfi4 Yes
zFtqqYRK4No Yes
HvLyVYvFdVE Yes
gXvROErxCds No
kXEEr3Mmab4 No
qYWhO7Q1h7Y Yes
DdQt_aAo-Is Yes
cV6ckMTjwRE Yes
a0_13ewF5AM Yes
7thEUOaHMZ0 Yes
ZPBiPQHEDBk Yes
mZZ4BoD2upY Yes
DlrGlux5Hak Yes
gW_XrbJO-bY Yes
wwCzi-7oARM Yes
9ggl1fbQ7sI Yes
Te9SCWdB6NQ Yes
dEZQ6w_6nv0 Yes
IAQQo6NCxh0 Yes
i085YhTB-UU Yes
F9TDLrIL97o Yes
nAGp1s3NqIM Yes
NVbk5zfI-Do Yes
yCSt8k29L54 Yes
YIqEdgRo31o Yes
EGGdhT13_fM Yes
4BapxYTXce0 Yes
xrxqDNIEpBQ Yes
y37UBdUr0B4 Yes
RgdEHiuXQ1Y Yes
MJvpoBUQp0w Yes
VShpRgaRIqI Yes
ts9lExhtBdA Yes
ucKBlpmbsXo Yes
5i51xe_DUE4 Yes
K9ald-Bfx00 Yes
Mju4VV4edNw Yes
c4um6puoKN4 Yes
HpEIPE0Uf5g Yes
KB-bBuIihlo Yes
y3cUoL1Mh3k Yes
N1nhg8kZwc4 Yes
7Il6I0YYUi4 Yes
B80KBQFh7BM Yes
pvDwUu8QnT4 Yes
iazcUxNOf8c Yes
e5JumwXMgiQ Yes
MR8C7qRX9Z0 Yes
XFEH9oLiDqA No
li-EKmg4nyQ Yes
u254xagq1po Yes
o-B3EEYRN00 Yes
SVlPkJrSW4E Yes
AnKYSsClv54 Yes
sVHndlMN4ec Yes
Ei0FtNA-tHo Yes
rxoIq-nXsgw Yes
RWsS9YVbi5k Yes
KkxO2CE6Gn0 Yes
T62MId9uWAY Yes
51f1ZYCE5Bk Yes
sPUDefVLg3o Yes
E9Qcq0xSrfM Yes
VLxKXnzLG8w Yes
kCOyZHfOPB4 Yes
oPDgpFz5aA0 Yes
5inIqFXzMw8 Yes
4yv4lV-FPl0 Yes
X3snGQ0jags Yes
ii7GiW6wq5M Yes
KfcsYBttbv4 Yes
YgXWqB_rsA4 Yes
r2Hpbees9yM Yes
0lLsNQ-YpN4 Yes
mIsEYJbMVKQ Yes
h00SvuK5jmc Yes
XS1wGkJCCe0 Yes
LmX07sgj4aw Yes
qWvQD4yWbug Yes
H3VIHCeOp8E Yes
pargVRLZvgE Yes
yTx_WJUZJUE Yes
Ge4WuFwTtPc Yes
mL0HzmUPlsA Yes
rzFwjqZKylE Yes
6cbsOYbrL5g Yes
w0BA-y3fstU Yes
8FYEezYnTJw Yes
Doq-jZiTayI Yes
pwQVeOnbvxQ No
XmUAwc01Ktc Yes
5NR8CRXxaRE Yes
av9q03pHOxc Yes
Gbla8X3DpH0 Yes
L5zBOKVf9SY Yes
yZAAah2qt1k Yes
PnVWDw7kGto Yes
BysVqAtbwnE Yes
Oh59GOPm0PY Yes
YJrW8Q5r4Yk Yes
X_UgWEcT45Q Yes
DUnPZszGqeQ Yes
51y3etlCpwQ Yes
xA6fx3pkviY Yes
UCFo8oYcrpE Yes
rLdmxbgahj8 Yes
J4KtZmPrYQ8 Yes
wWBPJG7ABxI Yes
E4wc9PIIOaI Yes
21RcEbGETWE Yes
PAoPSBRw0wA Yes
xbOKAZS4zaY Yes
Yt7emZbohMg Yes
UBzIYJeLR4w Yes
Mj1LyUNaODM Yes
rRG-p1cw_2w Yes
8EG8uEtRY1g Yes
wsPVSyZF7ig Yes
JlSY4hWyQfw Yes
6I-oMVNK36A Yes
vSpLqtorsGc Yes
T7CpBw12TyE Yes
5PrOb-4BdaY Yes
_xtmPmFl5jM Yes
42EodKfy20w Yes
QFcEaPRFkS8 Yes
pK1tmqAy_Co Yes
Phn0NRv0ehg Yes
t67zvoqMD10 Yes
gaqlKTzoaPk Yes
6zFkq6vJSzY Yes
_V8kSaF55m0 Yes
NsA9CQuW4aA Yes
NNPp9MxngaY Yes
iB8f2jbx2o0 No
piUPOeA8pmE Yes
iSJkYn0r0PY Yes
hjsERPx-kdM Yes
skb2028XXYY Yes
lNdv3iXi9kk Yes
jPGUTcX3fjQ Yes
CqnM3ePRjg0 Yes
go9n-_eAZZ8 Yes
1M1WoqPINes Yes
w58muSBhs8U Yes
4v3GEmeEI98 Yes
I5M04W3dpoU Yes
Nt-evawzTro Yes
M3hW4weJpgM Yes
gAqTZbFA7Yc Yes
eAR2HSM5YIc Yes
Gup9FHoTZQo Yes
gmRauXOZysk Yes
FmLvyCZd-6I Yes
wdDwea6LBSk Yes
2Hobss-G6Vw Yes
WC0nO03QH-U Yes
i5eINuqxYrU Yes
Tslr_0pMsNY Yes
G-o5bSUplRM Yes
RVSj3lPf9Vc Yes
Ok_upHByUfQ Yes
q9xSjOo0HUk Yes
80EqGXPjMyY Yes
beMzAjCd5Nw Yes
4SFl2aXcwKI Yes
hNXrRrfdCAg Yes
dVFE_mWzUSc Yes
h474eRUSdc0 Yes
mPZezHOw6yw Yes
cIKrpbnZEtY Yes
qEbnebbKkLg Yes
ar8hvS9n01I Yes
2Yxv_14-nR4 Yes
g6gOeYAsVqs Yes
wySrDYTqn4E Yes
m4dj4xhoAUA Yes
C0JBXhp5yG8 Yes
QWQ1CLiO1YE Yes
DQvr9KL36s0 Yes
YVh24zvBRmI Yes
nP6Gsc5FIkc Yes
n9n7SQc9t-8 Yes
t68y0rCiZg0 Yes
xlGM-IfKci8 Yes
UmwRirxHtMk Yes
hKPMnv1sDG0 Yes
QsqcY2WgCXo Yes
GIWRxkJkdTs Yes
w-8SQeSND9M Yes
j7R0dbFbDuk Yes
7CoJ7UgQQVk Yes
zlQ-Kpm_U1I Yes
JztBvwftokQ Yes
r0nV1_H2LKM Yes
D1nYtm_qj3s Yes
eIPksdQ7OOE Yes
RcfUQbmSVEs Yes
EthI3DTBn8Y Yes
pQ8FCqP23Tg Yes
VDDhOmBW5ZA Yes
luSguXy_XKE Yes
zQh28sxpvvg Yes
qTApgkJIpWo Yes
MMQzqahrKN8 Yes
FcbkTsflkv4 Yes
fh_Nm2UEGX4 Yes
EcbhHjTlO1s Yes
uoWUHdVwuQQ Yes
4fyWBulzAOw Yes
CEL2lT8t1wU Yes
YSQuLX9yrN4 Yes
LKsnlCkLWOQ Yes
fYb_AujvhyQ Yes
pLS8ZnzdAQM Yes
023IWnR_BQw Yes
0pZX8BmOJbk Yes
5U0J2ZHfxiE Yes
KcDPnIrBUWI Yes
bHo489TfVdU Yes
YR6T43Sqsew Yes
CBZ5h7Y8ncg Yes
hbkk_ORF-L4 Yes
we5-CgVHq0Q Yes
dYKWRJ8hGe4 Yes
XKvOcQV6E5c Yes
P7cxgunKTnw Yes
W037iD3wJZ0 Yes
Ps7HBME8m2E Yes
ymwN9kL0nfY Yes
JXO_Gd1jFIU Yes
unl91LNafzk Yes
3Q8YEF5-Ev8 Yes
pF9ECz0skJg Yes
3IJXweEVjr4 Yes
MOrtUDP8ZGk Yes
kMkeTwHw8gM Yes
hcZ7KB9KEEg Yes
C8M2vuylwDg Yes
V8_EDyHk5UY Yes
tue-72Uk9KE Yes
lFsp3VH6IqI Yes
Oyp0EfNht6k No
YR6wZZy-a9Q Yes
3Jr33FcB9lA Yes
YTGLaWnddy4 Yes
KMNBh5uEkPU Yes
II1Bg-WnFqo Yes
bHZlsKyWRhc Yes
zWM3u3BVOW4 Yes
e70V2UyqK9o Yes
j4Td8QYIXOQ Yes
oKV-dX9XFvg Yes
J7krVFykgtg Yes
AH4xVT-5TdE Yes
ih3oGg0KRTw Yes
DZRLrePnBpk Yes
gYWIvmWgSSU Yes
VHMv61EJU58 Yes
VQh21Wor_a0 Yes
jr2bgGS2lR8 Yes
tOIpvmyLq-E Yes
3JDqYuFegU4 Yes
TA2-Xo0rhpY Yes
Z29HdM8yK1s Yes
5o1uTo2zE-M Yes
HhU0AXERcG8 Yes
GjSDnsEMgDU Yes
QQzmWRbB9_w Yes
9_LaWV2WiR8 Yes
EhhvyVU3vPE Yes
i8LkOJv0-KI Yes
mNi-0J1hhxw Yes
r49jZlG54OE Yes
4zH0cqoR5i8 Yes
SglLEwwFEkE Yes
7CwU3qUVem8 Yes
Hafy7ugZ4BU No
UUzU5uKPwjs Yes
vLDdsjf9Di4 Yes
smhs1XkU8F8 Yes
1xYVixPPt0k Yes
OtF3SkxLV7A Yes
tuO6k3eqbAs Yes
R14SuXZN6DA Yes
w6x-05grOZ8 Yes
iBP8wuhW2GU Yes
qNGvQMr85IQ Yes
98gsexulVHQ Yes
E4MMD-ALaho Yes
7H8uIpxdeK4 Yes
HUftWSF6bts Yes
ET1BsUpio3Y Yes
FGPsmH94jSE Yes
57-IsyFRo4s Yes
Sb6Ci7f01RY Yes
ugUyeaDF1y4 Yes
irOGuFFHzWA Yes
o4WsewQ6P9o Yes
KywSypsKnGw Yes
p50KcoP3ffI Yes
YlLpIq41j2U Yes
XBY8_J_1FcY Yes
JCKgVCgC6Fo Yes
mYq_DO9kSZI Yes
cl4VAVx85wE Yes
CFly_z5NfOk Yes
s0tBfLvO8ds Yes
PuPBmuLiKow Yes
eMs6CXDlN5o Yes
CNbFrMgHHLM Yes
RnskUOCQ5mw Yes
k9BSOdjzvVo Yes
ClRxfOmbr4M Yes
JKtybon_h6Y No
XAP3pEGMqh8 Yes
yhxy63Am4P4 Yes
m3hC2OSJVMM Yes
Xrma_6PDlr4 No
LetgekXDC_w Yes
sErFfEmKNXc Yes
buOrPkmHujY Yes
yp_gOUeO43U Yes
I4a5tOx9lXU No
5goUNp-35Ls No
SYXNCySrAxs Yes
1gFc0saB1Dc Yes
K4XnpEutPBY Yes
5MKSEaST63I Yes
sJLHRGasLWk No
AbgIXnqpXmI Yes
WSgwXO6uhsw Yes
OtwrotwgE5s Yes
vL5zUdqjjSM Yes
5xbIYmOJzoI No
X1JWETJsCTI Yes
SsOJi2dFwMg Yes
m3XI2DzlTrw Yes
bpoD6-uPMlw Yes
AEM2pgBSNGw Yes
YLbdGc7FX5k Yes
EKJlSMCCVTo Yes
PzmK4PfjvT4 Yes
BaNUS3LNalE Yes
fpPDRCatQ0U Yes
eAuAYxfRrAU Yes
NQ5l_v-s5k0 Yes
0EgkXCj_gd4 Yes
9DmU0VLeNyw Yes
w8TNLybEVZE Yes
d-PTAXUfz6o Yes
MaCLGhIBgHY Yes
KP4nfb22z3M Yes
M1GQLA1vtI8 Yes
ZRlVxIQxx6I Yes
Q_fa5c_KTWA No
tRbKoRIFlOQ Yes
3iHn4aXEUdQ Yes
9BEBeoLWQF8 Yes
CyKt-hZbMkU Yes
5TKisFYxdDA Yes
AdUnwiY8qQI Yes
YBS-9SAO6Q4 Yes
hAK23_63kuk Yes
0f52enZGnuE Yes
hcyPKPlFqrk Yes
QhueNOVMMlo Yes
72xEjsGpoNU Yes
n9CXE65TPS0 Yes
WJlnNm6t6Wk Yes
dEjONh0vmzU Yes
1dbKZvJw4V0 Yes
DuVzprlc7ug Yes
F7esDjG2vBM Yes
tD4mSTDUxDA Yes
FR64F7dhB9g Yes
PeTVOwCdkEQ Yes
dcWuyoSGG_Y Yes
tPzgqZc9id4 Yes
8LE4ITOsXAE Yes
9vfDkQpoVlY Yes
Km4yx5FQA8c Yes
H1h1E3etcOg Yes
b0afR-rQ0GM Yes
q7-3tFdQqbo Yes
Q12QqMhLa-Y No
PsNGQEzkQBg Yes
Yl5lbuKGf-w Yes
Q22YsVjbHkM Yes
EQlceQJA5-k No
BuEAJlO6pe4 Yes
0kusMVkSmCk Yes
ge3kPGAJ__k No
HK_yvCsgLR4 Yes
gxAjdx9XXow Yes
ehxwuUuOs80 Yes
4rwXUVmV4RQ Yes
iaQWeQvaQTs No
w_WT3gNTrZA Yes
X6MyufyGQVA Yes
f7QWMUCMYOE No
LojBO52LW5c Yes
6hNsrFczu8E Yes
S95aGAyFkSo Yes
Van2M5vQP9E Yes
dPx6iC8ZFsg Yes
4V2iEPMuclg Yes
7xRit3yRim0 No
L878W_WrTx8 No
Js2UoMSumx4 No
05gCLHlpzTU No
4u_AYwwn-jM Yes
AaoMhLVw7bM Yes
83Bg2c6asrQ Yes
OPVZcsdy9RY No
